date_and_time,lat,lon,speed
16-04-12 15:54:15:000,32.094305,34.976414,11
16-04-12 15:54:16:000,32.094308,34.976379,11
16-04-12 15:54:17:000,32.094296,34.976342,9
16-04-12 15:54:18:000,32.094283,34.976319,11
16-04-12 15:54:19:000,32.094273,34.976294,11
16-04-12 15:54:20:000,32.094264,34.976267,9
16-04-12 15:54:21:000,32.094248,34.976241,9
16-04-12 15:54:22:000,32.094235,34.976206,10
16-04-12 15:54:23:000,32.094219,34.97618,9
16-04-12 15:54:24:000,32.094189,34.976124,12
16-04-12 15:54:25:000,32.094208,34.976113,9
16-04-12 15:54:26:000,32.094198,34.976095,8
16-04-12 15:54:27:000,32.094162,34.976076,7
16-04-12 15:54:28:000,32.094167,34.976039,8
16-04-12 15:54:29:000,32.094165,34.976011,9
16-04-12 15:54:30:000,32.094149,34.975966,10
16-04-12 15:54:31:000,32.094144,34.975932,8
16-04-12 15:54:32:000,32.094153,34.9759,10
16-04-12 15:54:33:000,32.094152,34.975864,10
16-04-12 15:54:34:000,32.09412,34.975823,11
16-04-12 15:54:35:000,32.094094,34.975781,13
16-04-12 15:54:36:000,32.094072,34.975736,14
16-04-12 15:54:37:000,32.09405,34.975701,14
16-04-12 15:54:38:000,32.094031,34.975664,14
16-04-12 15:54:39:000,32.094046,34.975641,9
16-04-12 15:54:40:000,32.094045,34.975632,8
16-04-12 15:54:41:000,32.094041,34.975607,8
16-04-12 15:54:42:000,32.094036,34.975586,8
16-04-12 15:54:43:000,32.09403,34.975555,9
16-04-12 15:54:44:000,32.094009,34.975541,9
16-04-12 15:54:45:000,32.09398,34.975504,9
16-04-12 15:54:46:000,32.093961,34.975459,9
16-04-12 15:54:47:000,32.093953,34.975419,10
16-04-12 15:54:48:000,32.093938,34.975381,10
16-04-12 15:54:49:000,32.093918,34.97534,11
16-04-12 15:54:50:000,32.09392,34.97534,9
16-04-12 15:54:51:000,32.093898,34.975301,11
16-04-12 15:54:52:000,32.093879,34.975273,11
16-04-12 15:54:53:000,32.093881,34.97526,8
16-04-12 15:54:54:000,32.09387,34.975221,9
16-04-12 15:54:55:000,32.093861,34.975193,9
16-04-12 15:54:56:000,32.09384,34.975169,9
16-04-12 15:54:57:000,32.093818,34.975138,9
16-04-12 15:54:58:000,32.093794,34.975108,9
16-04-12 15:54:59:000,32.093776,34.975079,9
16-04-12 15:55:00:000,32.093761,34.975057,9
16-04-12 15:55:01:000,32.09373,34.97503,9
16-04-12 15:55:02:000,32.093707,34.974967,12
16-04-12 15:55:03:000,32.093712,34.974919,13
16-04-12 15:55:04:000,32.093697,34.974908,8
16-04-12 15:55:05:000,32.093693,34.974889,9
16-04-12 15:55:06:000,32.093681,34.974854,8
16-04-12 15:55:07:000,32.093673,34.97482,9
16-04-12 15:55:08:000,32.093667,34.974788,9
16-04-12 15:55:09:000,32.093651,34.97476,9
16-04-12 15:55:10:000,32.093643,34.974733,8
16-04-12 15:55:11:000,32.093639,34.974713,7
16-04-12 15:55:12:000,32.093623,34.974678,8
16-04-12 15:55:13:000,32.093615,34.974644,9
16-04-12 15:55:14:000,32.093589,34.97461,10
16-04-12 15:55:15:000,32.093572,34.974572,10
16-04-12 15:55:16:000,32.093571,34.974524,11
16-04-12 15:55:17:000,32.093562,34.974499,9
16-04-12 15:55:18:000,32.093548,34.974452,9
16-04-12 15:55:19:000,32.093535,34.974417,10
16-04-12 15:55:20:000,32.093522,34.974386,9
16-04-12 15:55:21:000,32.093515,34.974355,9
